,Student Name,Student ID,Course Title,Course Code,Class Title,Class Code,Assessment Type,Assignment Title,Group Assignment,Poll Title,Grader Name,Updated Date,Comment,Score,Learning Outcome Name,HC Name
0,Student_1,1111,"Modeling, Simulation, and Decision Making",CS166,,,assignment,Elevator simulation,False,,Prof. Ben Affleck,2020-02-10 18:03:47+00:00,This is excellent work!,,,
1,Student_1,1111,"Modeling, Simulation, and Decision Making",CS166,,,assignment,Elevator simulation,False,,Prof. Ben Affleck,2020-02-14 18:12:14+00:00,This is excellent work!,,,
2,Student_1,1111,"Modeling, Simulation, and Decision Making",CS166,,,assignment,Elevator simulation,False,,Prof. Ben Affleck,2020-02-22 14:13:50+00:00,This is excellent work!,4.0,responsibility,
3,Student_1,1111,"Modeling, Simulation, and Decision Making",CS166,,,assignment,Elevator simulation,False,,Prof. Ben Affleck,2020-02-10 14:27:00+00:00,This is excellent work!,4.0,,pythonimplementation
4,Student_1,1111,"Modeling, Simulation, and Decision Making",CS166,,,assignment,Elevator simulation,False,,Prof. Ben Affleck,2020-02-15 14:18:24+00:00,This is excellent work!,,,
5,Student_1,1111,"Modeling, Simulation, and Decision Making",CS166,,,assignment,Elevator simulation,False,,Prof. Ben Affleck,2020-02-26 14:28:14+00:00,This is excellent work!,4.0,,interpretresults
6,Student_1,1111,"Modeling, Simulation, and Decision Making",CS166,,,assignment,Elevator simulation,False,,Prof. Ben Affleck,2020-02-24 14:16:15+00:00,This is excellent work!,,,
7,Student_1,1111,"Modeling, Simulation, and Decision Making",CS166,,,assignment,Elevator simulation,False,,Prof. Ben Affleck,2020-02-17 14:16:23+00:00,This is excellent work!,,,
8,Student_1,1111,"Modeling, Simulation, and Decision Making",CS166,,,assignment,Elevator simulation,False,,Prof. Ben Affleck,2020-02-07 14:17:30+00:00,This is excellent work!,4.0,professionalism,
9,Student_1,1111,"Modeling, Simulation, and Decision Making",CS166,,,assignment,Elevator simulation,False,,Prof. Ben Affleck,2020-02-10 14:24:06+00:00,This is excellent work!,,,
10,Student_1,1111,"Modeling, Simulation, and Decision Making",CS166,,,assignment,Elevator simulation,False,,Prof. Ben Affleck,2020-02-17 14:25:34+00:00,This is excellent work!,1.0,critique,
11,Student_1,1111,"Modeling, Simulation, and Decision Making",CS166,,,assignment,Elevator simulation,False,,Prof. Ben Affleck,2020-02-15 14:28:21+00:00,This is excellent work!,2.0,modeling,
12,Student_1,1111,"Modeling, Simulation, and Decision Making",CS166,,,assignment,Elevator simulation,False,,Prof. Ben Affleck,2020-02-02 14:28:35+00:00,This is excellent work!,5.0,,professionalism
